CODIGO;CREDITOS;DISCIPLINA;TIPO DA DISCIPLINA;TURMA;HORARIO;CURSOS
4645G;4;ALGORITMOS E ESTRUTURA DE DADOS I;TEORICA;128;3AB 5AB;4/606
46171;4;ALGORITMOS E ESTRUTURAS DE DADOS I;TEORICA;590;3CD 6CD;4/450
46503;4;ALGORITMOS E ESTRUTURAS DE DADOS II;PRATICA;127;2LM 4LM;4/630
48231;3;ARQUITETURA DA ANTIGUIDADE A IDADE MEDIA;TEORICA;260;2FGH;4/804
46186;4;ARQUITETURA DE COMPUTADORES II;TEORICA;590;2LM 4LM;4/450
48144;2;ARQUITETURA E GESTAO;TEORICA;260;2JK;4/804
4422H;2;ARQUITETURA I;TEORICA;470;3JK;4/451
4422R;4;ARQUITETURA II;TEORICA;480;6JKLM;4/451
48239;3;ARQUITETURA NA AMERICA LATINA;TEORICA;260;2IJK;4/804
48242;3;ARQUITETURA NO RIO GRANDE DO SUL;TEORICA;260;4IJK;4/804
4636C;4;AUDITORIA E SEG DE SISTEMAS DE INFORMACAO;TEORICA;168;2LM 4LM;4/624
34668;2;BIOINFORMATICA COMPARATIVA;TEORICA;1;2AB;9/404
4621L;4;COMPUTACAO E SOLUCAO DE PROBLEMAS I;PRATICA;350;2JK 4JK;4/211 4/451 4/452 4/455 4/458
4621L;4;COMPUTACAO E SOLUCAO DE PROBLEMAS I;PRATICA;380;2LM 4LM;4/211 4/451 4/452 4/455 4/458
4446V;2;CONFORTO EM EDIFICACOES;TEORICA;460;3LM;4/451
48305;2;DESENHO GEOMETRICO;PRATICA;260;2LM;4/804
48319;4;DESENHO TECNICO;TEORICA;380;4LM 5NP;4/450 4/456 4/452
46505;2;DESIGN DE INTERACAO;PRATICA;127;4NP;4/630
4636Q;4;DISCIPLINA INTEGRADORA II;TEORICA;168;4LMNP;4/624
4645P;2;DISCIPLINA INTEGRADORA I LOGICA E PROGRAMACAO;PRATICA;128;6AB;4/606
4480V;6;ENGENHARIA BIOQUIMICA E DE ALIMENTOS;TEORICO-PRATICA;390;2LM 3JK 4LM;4/456
4480B;4;ENGENHARIA DE PROCESSOS;TEORICO-PRATICA;380;2NP 5JK;4/456
46506;4;ENGENHARIA DE REQUISITOS;PRATICA;127;3LM 5LM;4/624 4/630
46241;2;ENGENHARIA DE SOFTWARE;TEORICA;480;4LM;4/455
4620V;4;ENGENHARIA DE SOFTWARE - EC;TEORICA;590;3JK 5JK;4/450
44798;4;ENGENHARIA ECONOMICA;TEORICA;127;3JK 5JK;4/630
48215;2;ESTETICA E HISTORIA DA ARTE;TEORICA;260;6FG;4/804
48357;3;EXPRESSAO E REPRESENTACAO II;TEORICA;260;4IJK;4/804
48358;3;EXPRESSAO E REPRESENTACAO III;PRATICA;280;2FGH;4/804
4480G;4;FENOMENOS DE TRANSPORTE III;TEORICO-PRATICA;380;2LM 3JK;4/456
4610T;2;FERRAMENTAS COMPUTACIONAIS;PRATICA;360;5JK;4/452 4/455 4/458
4637P;2;FUNDAMENTOS DA COMPUTACAO;TEORICA;168;2NP;4/624
4645Z;4;FUNDAMENTOS DE COMPUTACAO GRAFICA;TEORICA;128;3CD 5CD;4/606
4646A;4;FUNDAMENTOS DE INTELIGENCIA ARTIFICIAL;TEORICA;128;3EY 5EY;4/606
4611C;6;FUNDAMENTOS DE PROGRAMACAO;PRATICA;138;2EY 4EY 6CD;4/606 4/630
4646B;4;FUNDAMENTOS DE SISTEMAS DIGITAIS;PRATICA;128;4CD 6CD;4/606
48347;3;GEOMETRIA DESCRITIVA I;PRATICA;260;2IJK;4/804
48346;3;GEOMETRIA DESCRITIVA II;TEORICA;270;3FGH;4/804
4636M;2;GERENCIA DE REDES DE COMPUTADORES;PRATICA;168;4NP;4/624
46510;4;GERENCIAMENTO DE PROJETO DE SOFTWARE;TEORICA;127;3JK 5JK;4/630
11521;4;HUMANISMO E CULTURA RELIGIOSA;TEORICA;128;2EY 4EY;4/604 4/606 4/455
4450K;3;INSTALACOES PREDIAIS I;TEORICO-PRATICA;260;4IJK;4/803 4/804
4621A;4;INTELIGENCIA ARTIFICIAL APLICADA - EC;TEORICA;590;3LM 5LM;4/450
4646E;4;INTERPRETACAO DE LINGUAGENS DE PROGRAMACAO;TEORICA;128;3CD 5CD;4/606
4646F;4;INTRODUCAO A CIENCIA DA COMPUTACAO;PRATICA;128;3CD 5CD;4/606
4646G;4;INTRODUCAO A REDES DE COMPUTADORES;TEORICA;128;2CD 4CD;4/606
