# RA Dec Distance Mag Spectrum
0.00025315 -19.49883745 45.662100456621  9.27 K3V         
0.00033386 38.85928608 355.871886120996  6.61 B9          
0.00055878 -51.89354612 129.032258064516  8.06 F0V         
0.00066435 -40.59122440 348.432055749129  8.55 G8III       
0.00235612 36.58593777 207.900207900208  8.59 G5          
0.00241687 -50.86707360 92.9368029739777  8.59 F6V         
0.00248646 46.94000154 233.100233100233  7.34 A2          
0.00272783 -35.96022482 246.305418719212  8.43 K4III       
0.00277864 -22.59468060 286.532951289398  8.80 K0III       
0.00321812 -00.36042119 195.694716242661  7.25 K0          
0.00335392 50.79117384 408.163265306122  8.60 K2          
0.00340663 -40.19232842 162.60162601626  8.15 F3V         
0.00355446 38.30408636 242.718446601942  6.53 G5          
0.0041967 23.52928397 92.9368029739777  8.51 G0          
0.00441571 08.00723437 171.232876712329  7.55 K2          
0.00467572 -49.35226686 223.713646532439  8.69 G8/K0III/IV 
0.00496195 13.31221083 81.9000819000819  7.57 F2V         
0.00529102 -44.29029741 72.7802037845706  6.28 G3IV        
0.00581658 -43.36179962 177.304964539007  8.83 F3/F5V      
0.00640904 42.14149882 263.852242744063  8.26 A0          
0.00653959 02.67547768 543.478260869565  7.63 K2          
0.00661205 -10.46245445 111.856823266219  8.10 F2          
0.00663131 26.91823821 78.6782061369001  6.43 F7.5IV-V    
0.00688503 12.26709303 158.730158730159  7.68 K0          
0.00740312 -79.06183133 41.9463087248322  8.65 G6V         
0.00745743 -16.69693020 91.0746812386157  7.46 F3V         
0.0077709 54.30223774 292.397660818713  8.70 A0          
0.00835911 25.84478059 156.739811912226  8.20 F2          
0.00860593 59.55973786 131.061598951507  6.18 G9III-IV    
0.00884815 -03.30636174 414.9377593361  7.91 K2          
0.00896961 -25.62225277 840.336134453782  8.57 K1III       
0.00901282 -56.83524773 40.8997955010225 10.78 K3V         
0.00901484 -40.69044664 537.634408602151  7.31 K0/K1III    
0.0095247 -53.09766277 59.206631142688  6.49 G1IV        
0.00955936 01.06619726 2439.0243902439  8.94 K0          
0.00977725 -77.02014050 253.164556962025  8.56 A4V         
0.01011037 17.96895579 47.6871721506915 10.57 M:          
0.01052221 -66.68310336 68.212824010914  7.40 G2IV/V      
0.01085545 00.22293899 288.184438040346  8.12 K0          
0.01121903 -69.67580068 29.5072292711714  8.27 K2V         
0.01158422 62.17600484 38.3729854182655  7.05 G0          
0.01169487 -64.46582516 161.812297734628  8.34 F2IV        
0.01174381 53.82218625 178.571428571429  8.86 K5          
0.01199741 -45.42272731 189.393939393939  8.27 G8III       
0.01211663 45.25333305 207.900207900208  6.36 B9p
0.01230592 -27.90754614 289.855072463768  8.08 K2III       
0.01256994 -72.31824913 122.249388753056  8.55 F2V         
0.01327342 23.53824873 133.689839572193  7.83 F5          
0.01337575 16.98896499 31.4465408805031  8.79 K0          
0.01342478 30.39589283 157.48031496063  8.33 A0          
0.01380665 36.78015328 109.529025191676  8.26 G5          
0.01463132 -12.82867015 94.0733772342427  8.97 G3/G5V      
0.01469714 66.84796687 251.889168765743  6.90 K2          
0.01479152 35.75272213 41.2881915772089  9.93 K5          
0.01487747 -50.44646500 625  7.42 K4III       
0.01536811 -30.06417333 283.28611898017  8.41 A0V         
0.01548753 17.86784193 854.700854700855  8.06 K0          
0.01571485 35.31675386 218.818380743982  8.69 F5          
0.01611947 -11.82353722 64.143681847338  8.40 G2V         
0.01625762 -04.93211471 42.6803243704652  8.57 G5          
0.01653873 52.08056444 438.59649122807  8.85 M0          
0.01735884 69.60349830 288.184438040346  8.05 B9          
0.01743437 -05.83497569 221.238938053097  7.80 F5          
0.01794397 -48.80985919 167.50418760469  5.71 G8III       
0.01847678 53.16694253 384.615384615385  7.87 K2          
0.01866665 -41.88742972 106.951871657754  7.64 F5IV/V      
0.01870456 -05.87433293 237.529691211401  7.66 K0          
0.019375 -20.70558648 209.643605870021  8.68 G8III       
0.0194815 -00.07592034 59.7371565113501  8.12 F8V         
0.02013592 -11.96400015 127.388535031847  8.67 F5V         
0.02106774 60.35529798 787.40157480315  7.04 C5p         
0.02109675 19.74131648 222.71714922049  8.44 G0          
0.02136213 -41.48735570 333.333333333333  7.05 M1III       
0.02147626 -68.37102958 109.289617486339  8.29 F6V         
0.02185629 70.92895780 225.225225225225  7.73 F0          
0.02201097 49.98158501 222.222222222222  6.22 G7II-III    
0.02225348 -50.33739907 171.232876712329  5.53 M2III       
0.02243688 -70.12530771 3333.33333333333  8.53 K3II/III    
0.0231068 06.79149102 187.617260787993  7.23 F0          
0.02324721 39.61081788 48.9715964740451  8.61 G5          
0.02327246 34.28185977 36.8867576540022 11.28 M2          
0.02379443 -16.94782618 31.8979266347687 10.76 M1.5V:      
